wl,Si,Sugar,PS
1381,0.810345065,0.489049076,0.968603
1382,0.856377794,0.737262598,0.958602
1383,1.023395023,0.75251095,0.947285
1384,1.286336532,0.603451743,0.923399
1385,1.205969028,0.560282405,0.912903
1386,0.844669465,0.460971768,0.905057
1387,0.788925533,0.476378157,0.904398
1388,0.793803913,0.555859222,0.910331
1389,0.742371151,0.616519961,0.913893
1390,0.686106019,0.734314545,0.924352
1391,0.680633445,0.846041336,0.923768
1392,0.67744474,0.994227739,0.914476
1393,0.652523086,1.025327088,0.915171
1394,0.624529893,1.01703556,0.915101
1395,0.631450633,0.969311956,0.915617
1396,0.64396606,0.892147579,0.923606
1397,0.649280547,0.870276857,0.925576
1398,0.684512464,0.826114004,0.920082
1399,0.694531052,0.827376009,0.92017
1400,0.691707225,0.861909412,0.921075
1401,0.654447167,0.890601277,0.926023
1402,0.645573048,0.87369885,0.926523
1403,0.669879318,0.873994417,0.927955
1404,0.658478195,0.876221818,0.930914
1405,0.667988864,0.864639639,0.929679
1406,0.684347091,0.892779481,0.928201
1407,0.676940922,0.899867804,0.930061
1408,0.672559733,0.90283104,0.931818
1409,0.665113092,0.912080281,0.931117
1410,0.651182464,0.909541105,0.93132
1411,0.641402866,0.919979197,0.931577
1412,0.64658852,0.919602009,0.930431
1413,0.653635519,0.910238823,0.929685
1414,0.655397947,0.909058098,0.929096
1415,0.659918216,0.907349923,0.93002
1416,0.661907444,0.902883798,0.930769
1417,0.657945073,0.896225113,0.931649
1418,0.657791136,0.892500391,0.932957
1419,0.66074589,0.892283266,0.93303
1420,0.658141034,0.889947732,0.933125
1421,0.655669343,0.890217899,0.933472
1422,0.655903634,0.888143039,0.933918
1423,0.656866859,0.882848214,0.934303
1424,0.656498774,0.879185825,0.934791
1425,0.657777619,0.877070529,0.935428
1426,0.657789256,0.874329381,0.936362
1427,0.655620234,0.869973193,0.93769
1428,0.655838011,0.86983985,0.938189
1429,0.657152891,0.870923962,0.938894
1430,0.65714569,0.871274481,0.938672
1431,0.657421741,0.874602937,0.936976
1432,0.6579821,0.874146155,0.936761
1433,0.657888912,0.87079808,0.937154
1434,0.658316211,0.869444675,0.937196
1435,0.659624686,0.867173895,0.937522
1436,0.660305891,0.865872506,0.938048
1437,0.660742436,0.865763659,0.938277
1438,0.660978006,0.865863631,0.938776
1439,0.661152461,0.867061999,0.939944
1440,0.660998303,0.866932645,0.940572
1441,0.660208654,0.866503453,0.940888
1442,0.659942905,0.866060573,0.941231
1443,0.660413697,0.864945525,0.941361
1444,0.661279612,0.864157473,0.941612
1445,0.662587829,0.865407764,0.942684
1446,0.663017361,0.865820854,0.9435
1447,0.662597706,0.866243388,0.944213
1448,0.662526492,0.866379376,0.945222
1449,0.662123172,0.866280452,0.945958
1450,0.662092016,0.867418663,0.946387
1451,0.662705837,0.867956589,0.947232
1452,0.662854312,0.868404414,0.948003
1453,0.662901155,0.869391598,0.948364
1454,0.663143608,0.869326317,0.94894
1455,0.663161438,0.869162915,0.949552
1456,0.663089899,0.869838601,0.950111
1457,0.663254518,0.86975782,0.950716
1458,0.663420593,0.869176956,0.951434
1459,0.66358031,0.868955397,0.952003
1460,0.663817497,0.868251533,0.952318
1461,0.664041139,0.867301149,0.952493
1462,0.664176823,0.866942115,0.952375
1463,0.664335135,0.866743006,0.952179
1464,0.664421005,0.866706531,0.952032
1465,0.664181841,0.867062183,0.951994
1466,0.664014958,0.866977605,0.952347
1467,0.663892426,0.866889548,0.95266
1468,0.663902013,0.867034889,0.952818
1469,0.663934701,0.867093722,0.953221
1470,0.664177273,0.866942374,0.95374
1471,0.664285935,0.867434446,0.954157
1472,0.664373165,0.868349196,0.954707
1473,0.664214049,0.868783997,0.955159
1474,0.663864555,0.869520784,0.955494
1475,0.663966473,0.869872842,0.955723
1476,0.664111456,0.869669211,0.955824
1477,0.664241216,0.869624349,0.956109
1478,0.664728025,0.869536537,0.956269
1479,0.66481293,0.869518472,0.956591
1480,0.664477345,0.869250626,0.957155
1481,0.664516689,0.869602761,0.957625
1482,0.664638687,0.87035346,0.958104
1483,0.664812897,0.871057093,0.958512
1484,0.665154351,0.871924005,0.958805
1485,0.665396112,0.872711305,0.959245
1486,0.665637023,0.873380086,0.95974
1487,0.665773055,0.873929572,0.960176
1488,0.665918291,0.874477848,0.96069
1489,0.665922212,0.875108582,0.961076
1490,0.66566356,0.875832748,0.961282
1491,0.665701279,0.876295659,0.961589
1492,0.665880606,0.876667029,0.96186
1493,0.665958334,0.87697486,0.962321
1494,0.666089415,0.877112269,0.962883
1495,0.666255839,0.877246968,0.963446
1496,0.666298104,0.877569567,0.96411
1497,0.666175858,0.878073463,0.964586
1498,0.666263161,0.878416027,0.96506
1499,0.666406275,0.878787948,0.965547
1500,0.666368321,0.879008074,0.966052
1501,0.666369452,0.87905019,0.966639
1502,0.666363154,0.879491954,0.967057
1503,0.666313841,0.879834221,0.967535
1504,0.666401447,0.880100515,0.967897
1505,0.666494189,0.880601468,0.968333
1506,0.666481945,0.880702669,0.968957
1507,0.666465984,0.880776576,0.969311
1508,0.666524294,0.881063032,0.969521
1509,0.666619946,0.881185656,0.969623
1510,0.666675285,0.881447577,0.969569
1511,0.666726323,0.881709756,0.969658
1512,0.666717522,0.881949365,0.969965
1513,0.666706261,0.882248246,0.970243
1514,0.666760413,0.882219715,0.970561
1515,0.666840674,0.88224671,0.97084
1516,0.66691577,0.882477115,0.970968
1517,0.666951481,0.882575579,0.971245
1518,0.666990793,0.882778423,0.971516
1519,0.666998398,0.883019319,0.971755
1520,0.667030812,0.883043644,0.972172
1521,0.667105515,0.88315896,0.972561
1522,0.667190156,0.883398457,0.972913
1523,0.667287577,0.883651044,0.973222
1524,0.667410991,0.883930991,0.973408
1525,0.667565517,0.88403256,0.97355
1526,0.667619984,0.884168316,0.97372
1527,0.667710235,0.884259839,0.973889
1528,0.667818048,0.884220468,0.97408
1529,0.667866021,0.884376348,0.974357
1530,0.668015945,0.884447592,0.97459
1531,0.668172725,0.884447252,0.974877
1532,0.66828009,0.884585843,0.975212
1533,0.668335527,0.884649613,0.97552
1534,0.668367684,0.884537078,0.975904
1535,0.668477015,0.884401407,0.976246
1536,0.66860125,0.884231975,0.976611
1537,0.668718897,0.884005116,0.977044
1538,0.66882598,0.884014149,0.977449
1539,0.668871961,0.884059328,0.977786
1540,0.668955594,0.884028217,0.978044
1541,0.669056802,0.884040589,0.978236
1542,0.669147374,0.88399471,0.978303
1543,0.669273506,0.883982349,0.978486
1544,0.669379413,0.883948184,0.978631
1545,0.669438498,0.883918273,0.978673
1546,0.669478603,0.883879229,0.978926
1547,0.66949993,0.883737048,0.979145
1548,0.669478975,0.88359796,0.979385
1549,0.669507264,0.883525462,0.979687
1550,0.669658062,0.883544837,0.979825
1551,0.669905869,0.883519654,0.979918
1552,0.670127408,0.883458698,0.980008
1553,0.670277901,0.88348243,0.980122
1554,0.670324766,0.883503616,0.980269
1555,0.670363676,0.883480051,0.980235
1556,0.670475543,0.883398908,0.980208
1557,0.670607526,0.883237871,0.980292
1558,0.670838302,0.883003165,0.980199
1559,0.67098181,0.882738754,0.980203
1560,0.671061568,0.882616307,0.980287
1561,0.671162449,0.882587135,0.980114
1562,0.671206325,0.882540676,0.980051
1563,0.67134271,0.882588755,0.980031
1564,0.671526043,0.882632408,0.979885
1565,0.671732463,0.882635549,0.979795
1566,0.67199333,0.882716377,0.979594
1567,0.672142823,0.882714421,0.979275
1568,0.672206008,0.882735006,0.979064
1569,0.6723116,0.882892293,0.978893
1570,0.67244274,0.882940239,0.978738
1571,0.672620438,0.882999865,0.978764
